id,question_code,question,closed_answer,enps_month
679,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
680,ABC10,I enjoy the colleagues I work with,1,8
681,ABC1,I have the resources I need to do my job well,0,10
682,ABC2,I am able to successfully balance my work and personal life,1,8
683,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
684,ABC4,I would recommend my direct manager to others,1,8
685,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,8
686,ABC6,I have confidence in the leadership team,1,0
687,ABC7,I have good career opportunities at this organization,1,1
688,ABC8,The work that I do at this organization is meaningful to me,0,10
689,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
690,ABC10,I enjoy the colleagues I work with,1,2
691,ABC1,I have the resources I need to do my job well,1,10
692,ABC2,I am able to successfully balance my work and personal life,0,5
693,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,0
694,ABC4,I would recommend my direct manager to others,0,6
695,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
696,ABC6,I have confidence in the leadership team,1,3
697,ABC7,I have good career opportunities at this organization,0,9
698,ABC8,The work that I do at this organization is meaningful to me,0,9
699,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
700,ABC10,I enjoy the colleagues I work with,0,6
701,ABC1,I have the resources I need to do my job well,1,1
702,ABC2,I am able to successfully balance my work and personal life,1,3
703,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,1
704,ABC4,I would recommend my direct manager to others,0,4
705,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,5
706,ABC6,I have confidence in the leadership team,0,5
707,ABC7,I have good career opportunities at this organization,0,2
708,ABC8,The work that I do at this organization is meaningful to me,1,7
709,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
710,ABC10,I enjoy the colleagues I work with,1,0
711,ABC1,I have the resources I need to do my job well,0,0
712,ABC2,I am able to successfully balance my work and personal life,1,4
713,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,0
714,ABC4,I would recommend my direct manager to others,1,9
715,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,10
716,ABC6,I have confidence in the leadership team,0,0
717,ABC7,I have good career opportunities at this organization,0,2
718,ABC8,The work that I do at this organization is meaningful to me,1,0
719,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,10
720,ABC10,I enjoy the colleagues I work with,0,2
721,ABC1,I have the resources I need to do my job well,1,10
722,ABC2,I am able to successfully balance my work and personal life,0,0
723,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
724,ABC4,I would recommend my direct manager to others,1,0
725,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
726,ABC6,I have confidence in the leadership team,1,8
727,ABC7,I have good career opportunities at this organization,0,9
728,ABC8,The work that I do at this organization is meaningful to me,1,7
729,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,2
730,ABC10,I enjoy the colleagues I work with,1,4
731,ABC1,I have the resources I need to do my job well,1,5
732,ABC2,I am able to successfully balance my work and personal life,0,9
733,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,9
734,ABC4,I would recommend my direct manager to others,0,6
735,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,2
736,ABC6,I have confidence in the leadership team,1,3
737,ABC7,I have good career opportunities at this organization,1,2
738,ABC8,The work that I do at this organization is meaningful to me,1,6
739,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,6
740,ABC10,I enjoy the colleagues I work with,0,10
741,ABC1,I have the resources I need to do my job well,1,2
742,ABC2,I am able to successfully balance my work and personal life,0,2
743,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
744,ABC4,I would recommend my direct manager to others,0,7
745,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,5
746,ABC6,I have confidence in the leadership team,0,2
747,ABC7,I have good career opportunities at this organization,0,7
748,ABC8,The work that I do at this organization is meaningful to me,0,10
749,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,6
750,ABC10,I enjoy the colleagues I work with,0,2
751,ABC1,I have the resources I need to do my job well,1,1
752,ABC2,I am able to successfully balance my work and personal life,0,10
753,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
754,ABC4,I would recommend my direct manager to others,1,1
755,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,5
756,ABC6,I have confidence in the leadership team,1,4
757,ABC7,I have good career opportunities at this organization,0,1
758,ABC8,The work that I do at this organization is meaningful to me,1,10
759,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
760,ABC10,I enjoy the colleagues I work with,1,5
761,ABC1,I have the resources I need to do my job well,0,0
762,ABC2,I am able to successfully balance my work and personal life,1,2
763,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,9
764,ABC4,I would recommend my direct manager to others,0,9
765,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,6
766,ABC6,I have confidence in the leadership team,1,4
767,ABC7,I have good career opportunities at this organization,1,4
768,ABC8,The work that I do at this organization is meaningful to me,0,0
769,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
770,ABC10,I enjoy the colleagues I work with,1,7
771,ABC1,I have the resources I need to do my job well,1,3
772,ABC2,I am able to successfully balance my work and personal life,1,6
773,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,9
774,ABC4,I would recommend my direct manager to others,0,2
775,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,1
776,ABC6,I have confidence in the leadership team,1,10
777,ABC7,I have good career opportunities at this organization,0,3
778,ABC8,The work that I do at this organization is meaningful to me,1,9
779,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,0
780,ABC10,I enjoy the colleagues I work with,0,10
781,ABC1,I have the resources I need to do my job well,1,4
782,ABC2,I am able to successfully balance my work and personal life,1,5
783,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,8
784,ABC4,I would recommend my direct manager to others,0,8
785,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
786,ABC6,I have confidence in the leadership team,0,0
787,ABC7,I have good career opportunities at this organization,1,1
788,ABC8,The work that I do at this organization is meaningful to me,1,9
789,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
790,ABC10,I enjoy the colleagues I work with,0,6
791,ABC1,I have the resources I need to do my job well,0,4
792,ABC2,I am able to successfully balance my work and personal life,1,10
793,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,8
794,ABC4,I would recommend my direct manager to others,1,5
795,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,2
796,ABC6,I have confidence in the leadership team,1,0
797,ABC7,I have good career opportunities at this organization,1,1
798,ABC8,The work that I do at this organization is meaningful to me,0,7
799,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
800,ABC10,I enjoy the colleagues I work with,1,0
801,ABC1,I have the resources I need to do my job well,1,4
802,ABC2,I am able to successfully balance my work and personal life,0,4
803,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
804,ABC4,I would recommend my direct manager to others,0,1
805,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
806,ABC6,I have confidence in the leadership team,1,5
807,ABC7,I have good career opportunities at this organization,1,10
808,ABC8,The work that I do at this organization is meaningful to me,0,4
809,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,4
810,ABC10,I enjoy the colleagues I work with,0,4
811,ABC1,I have the resources I need to do my job well,0,7
812,ABC2,I am able to successfully balance my work and personal life,0,1
813,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,1
814,ABC4,I would recommend my direct manager to others,1,3
815,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,9
816,ABC6,I have confidence in the leadership team,1,7
817,ABC7,I have good career opportunities at this organization,1,2
818,ABC8,The work that I do at this organization is meaningful to me,1,0
819,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,0
820,ABC10,I enjoy the colleagues I work with,1,10
821,ABC1,I have the resources I need to do my job well,0,6
822,ABC2,I am able to successfully balance my work and personal life,0,4
823,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,9
824,ABC4,I would recommend my direct manager to others,1,8
825,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,1
826,ABC6,I have confidence in the leadership team,1,4
827,ABC7,I have good career opportunities at this organization,1,8
828,ABC8,The work that I do at this organization is meaningful to me,0,4
829,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,7
830,ABC10,I enjoy the colleagues I work with,1,5
831,ABC1,I have the resources I need to do my job well,1,8
832,ABC2,I am able to successfully balance my work and personal life,0,5
833,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
834,ABC4,I would recommend my direct manager to others,1,0
835,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,3
836,ABC6,I have confidence in the leadership team,0,5
837,ABC7,I have good career opportunities at this organization,0,3
838,ABC8,The work that I do at this organization is meaningful to me,1,2
839,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,4
840,ABC10,I enjoy the colleagues I work with,1,3
841,ABC1,I have the resources I need to do my job well,1,5
842,ABC2,I am able to successfully balance my work and personal life,0,6
843,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,2
844,ABC4,I would recommend my direct manager to others,0,3
845,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,9
846,ABC6,I have confidence in the leadership team,1,1
847,ABC7,I have good career opportunities at this organization,1,5
848,ABC8,The work that I do at this organization is meaningful to me,1,0
849,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,3
850,ABC10,I enjoy the colleagues I work with,1,9
851,ABC1,I have the resources I need to do my job well,0,9
852,ABC2,I am able to successfully balance my work and personal life,0,8
853,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,0
854,ABC4,I would recommend my direct manager to others,0,9
855,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
856,ABC6,I have confidence in the leadership team,1,0
857,ABC7,I have good career opportunities at this organization,0,7
858,ABC8,The work that I do at this organization is meaningful to me,1,0
859,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,7
860,ABC10,I enjoy the colleagues I work with,1,10
861,ABC1,I have the resources I need to do my job well,1,0
862,ABC2,I am able to successfully balance my work and personal life,0,3
863,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
864,ABC4,I would recommend my direct manager to others,0,7
865,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,5
866,ABC6,I have confidence in the leadership team,1,8
867,ABC7,I have good career opportunities at this organization,0,5
868,ABC8,The work that I do at this organization is meaningful to me,1,3
869,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,8
870,ABC10,I enjoy the colleagues I work with,0,9
871,ABC1,I have the resources I need to do my job well,1,4
872,ABC2,I am able to successfully balance my work and personal life,1,2
873,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,7
874,ABC4,I would recommend my direct manager to others,1,1
875,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
876,ABC6,I have confidence in the leadership team,0,10
877,ABC7,I have good career opportunities at this organization,1,8
878,ABC8,The work that I do at this organization is meaningful to me,0,1
879,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
880,ABC10,I enjoy the colleagues I work with,0,4
881,ABC1,I have the resources I need to do my job well,0,1
882,ABC2,I am able to successfully balance my work and personal life,1,8
883,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,8
884,ABC4,I would recommend my direct manager to others,1,6
885,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,2
886,ABC6,I have confidence in the leadership team,1,7
887,ABC7,I have good career opportunities at this organization,1,1
888,ABC8,The work that I do at this organization is meaningful to me,1,4
889,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
890,ABC10,I enjoy the colleagues I work with,1,9
891,ABC1,I have the resources I need to do my job well,1,2
892,ABC2,I am able to successfully balance my work and personal life,1,1
893,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
894,ABC4,I would recommend my direct manager to others,1,5
895,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
896,ABC6,I have confidence in the leadership team,0,1
897,ABC7,I have good career opportunities at this organization,0,10
898,ABC8,The work that I do at this organization is meaningful to me,1,8
899,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,8
900,ABC10,I enjoy the colleagues I work with,1,2
901,ABC1,I have the resources I need to do my job well,1,0
902,ABC2,I am able to successfully balance my work and personal life,0,2
903,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,3
904,ABC4,I would recommend my direct manager to others,1,7
905,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,3
906,ABC6,I have confidence in the leadership team,1,3
907,ABC7,I have good career opportunities at this organization,1,1
908,ABC8,The work that I do at this organization is meaningful to me,0,7
909,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,3
910,ABC10,I enjoy the colleagues I work with,0,8
911,ABC1,I have the resources I need to do my job well,1,7
912,ABC2,I am able to successfully balance my work and personal life,1,9
913,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,7
914,ABC4,I would recommend my direct manager to others,0,3
915,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,9
916,ABC6,I have confidence in the leadership team,1,10
917,ABC7,I have good career opportunities at this organization,1,1
918,ABC8,The work that I do at this organization is meaningful to me,1,2
919,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
920,ABC10,I enjoy the colleagues I work with,0,10
921,ABC1,I have the resources I need to do my job well,1,5
922,ABC2,I am able to successfully balance my work and personal life,0,8
923,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,9
924,ABC4,I would recommend my direct manager to others,1,3
925,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,2
926,ABC6,I have confidence in the leadership team,1,4
927,ABC7,I have good career opportunities at this organization,1,3
928,ABC8,The work that I do at this organization is meaningful to me,0,9
929,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,10
930,ABC10,I enjoy the colleagues I work with,0,10
931,ABC1,I have the resources I need to do my job well,0,5
932,ABC2,I am able to successfully balance my work and personal life,0,5
933,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
934,ABC4,I would recommend my direct manager to others,0,2
935,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,2
936,ABC6,I have confidence in the leadership team,1,1
937,ABC7,I have good career opportunities at this organization,0,10
938,ABC8,The work that I do at this organization is meaningful to me,1,2
939,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,7
940,ABC10,I enjoy the colleagues I work with,0,9
941,ABC1,I have the resources I need to do my job well,0,2
942,ABC2,I am able to successfully balance my work and personal life,1,1
943,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,10
944,ABC4,I would recommend my direct manager to others,0,9
945,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
946,ABC6,I have confidence in the leadership team,1,9
947,ABC7,I have good career opportunities at this organization,1,9
948,ABC8,The work that I do at this organization is meaningful to me,1,10
949,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,10
950,ABC10,I enjoy the colleagues I work with,0,8
951,ABC1,I have the resources I need to do my job well,0,10
952,ABC2,I am able to successfully balance my work and personal life,1,1
953,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,5
954,ABC4,I would recommend my direct manager to others,0,3
955,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
956,ABC6,I have confidence in the leadership team,0,8
957,ABC7,I have good career opportunities at this organization,0,10
958,ABC8,The work that I do at this organization is meaningful to me,1,1
959,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
960,ABC10,I enjoy the colleagues I work with,1,0
961,ABC1,I have the resources I need to do my job well,0,10
962,ABC2,I am able to successfully balance my work and personal life,1,8
963,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,7
964,ABC4,I would recommend my direct manager to others,0,7
965,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,7
966,ABC6,I have confidence in the leadership team,1,10
967,ABC7,I have good career opportunities at this organization,1,8
968,ABC8,The work that I do at this organization is meaningful to me,1,2
969,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,1
970,ABC10,I enjoy the colleagues I work with,1,2
971,ABC1,I have the resources I need to do my job well,1,5
972,ABC2,I am able to successfully balance my work and personal life,0,10
973,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,8
974,ABC4,I would recommend my direct manager to others,0,3
975,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,3
976,ABC6,I have confidence in the leadership team,0,9
977,ABC7,I have good career opportunities at this organization,1,3
978,ABC8,The work that I do at this organization is meaningful to me,0,3
979,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,4
980,ABC10,I enjoy the colleagues I work with,0,5
981,ABC1,I have the resources I need to do my job well,1,3
982,ABC2,I am able to successfully balance my work and personal life,0,9
983,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
984,ABC4,I would recommend my direct manager to others,1,1
985,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
986,ABC6,I have confidence in the leadership team,1,6
987,ABC7,I have good career opportunities at this organization,1,2
988,ABC8,The work that I do at this organization is meaningful to me,1,3
989,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,0
990,ABC10,I enjoy the colleagues I work with,0,10
991,ABC1,I have the resources I need to do my job well,0,1
992,ABC2,I am able to successfully balance my work and personal life,1,9
993,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,7
994,ABC4,I would recommend my direct manager to others,1,4
995,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
996,ABC6,I have confidence in the leadership team,0,10
997,ABC7,I have good career opportunities at this organization,1,6
998,ABC8,The work that I do at this organization is meaningful to me,1,10
999,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,7
1000,ABC10,I enjoy the colleagues I work with,1,4
1001,ABC1,I have the resources I need to do my job well,0,7
1002,ABC2,I am able to successfully balance my work and personal life,1,4
1003,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
1004,ABC4,I would recommend my direct manager to others,1,9
1005,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,0
1006,ABC6,I have confidence in the leadership team,0,6
1007,ABC7,I have good career opportunities at this organization,0,6
1008,ABC8,The work that I do at this organization is meaningful to me,1,5
1009,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,0
1010,ABC10,I enjoy the colleagues I work with,1,0
1011,ABC1,I have the resources I need to do my job well,1,0
1012,ABC2,I am able to successfully balance my work and personal life,1,4
1013,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,10
1014,ABC4,I would recommend my direct manager to others,0,5
1015,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,0
1016,ABC6,I have confidence in the leadership team,1,2
1017,ABC7,I have good career opportunities at this organization,1,8
1018,ABC8,The work that I do at this organization is meaningful to me,1,3
1019,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,1
1020,ABC10,I enjoy the colleagues I work with,0,0
1021,ABC1,I have the resources I need to do my job well,0,2
1022,ABC2,I am able to successfully balance my work and personal life,0,6
1023,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,6
1024,ABC4,I would recommend my direct manager to others,0,6
1025,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,6
1026,ABC6,I have confidence in the leadership team,1,7
1027,ABC7,I have good career opportunities at this organization,0,8
1028,ABC8,The work that I do at this organization is meaningful to me,1,3
1029,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,10
1030,ABC10,I enjoy the colleagues I work with,0,1
1031,ABC1,I have the resources I need to do my job well,0,2
1032,ABC2,I am able to successfully balance my work and personal life,0,9
1033,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
1034,ABC4,I would recommend my direct manager to others,1,8
1035,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,9
1036,ABC6,I have confidence in the leadership team,0,1
1037,ABC7,I have good career opportunities at this organization,0,1
1038,ABC8,The work that I do at this organization is meaningful to me,0,6
1039,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
1040,ABC10,I enjoy the colleagues I work with,0,0
1041,ABC1,I have the resources I need to do my job well,0,8
1042,ABC2,I am able to successfully balance my work and personal life,0,4
1043,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,7
1044,ABC4,I would recommend my direct manager to others,1,7
1045,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,3
1046,ABC6,I have confidence in the leadership team,0,10
1047,ABC7,I have good career opportunities at this organization,1,8
1048,ABC8,The work that I do at this organization is meaningful to me,1,6
1049,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
1050,ABC10,I enjoy the colleagues I work with,0,7
1051,ABC1,I have the resources I need to do my job well,0,8
1052,ABC2,I am able to successfully balance my work and personal life,1,4
1053,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
1054,ABC4,I would recommend my direct manager to others,0,6
1055,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,0
1056,ABC6,I have confidence in the leadership team,1,4
1057,ABC7,I have good career opportunities at this organization,0,8
1058,ABC8,The work that I do at this organization is meaningful to me,0,1
1059,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,9
1060,ABC10,I enjoy the colleagues I work with,1,2
1061,ABC1,I have the resources I need to do my job well,1,8
1062,ABC2,I am able to successfully balance my work and personal life,1,3
1063,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
1064,ABC4,I would recommend my direct manager to others,0,0
1065,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,7
1066,ABC6,I have confidence in the leadership team,0,1
1067,ABC7,I have good career opportunities at this organization,0,0
1068,ABC8,The work that I do at this organization is meaningful to me,1,10
1069,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
1070,ABC10,I enjoy the colleagues I work with,0,5
1071,ABC1,I have the resources I need to do my job well,0,1
1072,ABC2,I am able to successfully balance my work and personal life,1,9
1073,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,2
1074,ABC4,I would recommend my direct manager to others,1,1
1075,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,7
1076,ABC6,I have confidence in the leadership team,1,7
1077,ABC7,I have good career opportunities at this organization,1,0
1078,ABC8,The work that I do at this organization is meaningful to me,1,8
1079,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,10
1080,ABC10,I enjoy the colleagues I work with,0,2
1081,ABC1,I have the resources I need to do my job well,0,9
1082,ABC2,I am able to successfully balance my work and personal life,1,7
1083,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
1084,ABC4,I would recommend my direct manager to others,0,6
1085,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
1086,ABC6,I have confidence in the leadership team,1,7
1087,ABC7,I have good career opportunities at this organization,1,4
1088,ABC8,The work that I do at this organization is meaningful to me,0,10
1089,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,10
1090,ABC10,I enjoy the colleagues I work with,1,8
1091,ABC1,I have the resources I need to do my job well,1,1
1092,ABC2,I am able to successfully balance my work and personal life,0,4
1093,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,5
1094,ABC4,I would recommend my direct manager to others,0,5
1095,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,3
1096,ABC6,I have confidence in the leadership team,1,8
1097,ABC7,I have good career opportunities at this organization,0,3
1098,ABC8,The work that I do at this organization is meaningful to me,0,5
1099,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
1100,ABC10,I enjoy the colleagues I work with,0,8
1101,ABC1,I have the resources I need to do my job well,1,3
1102,ABC2,I am able to successfully balance my work and personal life,0,1
1103,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,10
1104,ABC4,I would recommend my direct manager to others,1,3
1105,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,9
1106,ABC6,I have confidence in the leadership team,0,1
1107,ABC7,I have good career opportunities at this organization,1,7
1108,ABC8,The work that I do at this organization is meaningful to me,1,6
1109,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
1110,ABC10,I enjoy the colleagues I work with,0,3
1111,ABC1,I have the resources I need to do my job well,1,5
1112,ABC2,I am able to successfully balance my work and personal life,1,6
1113,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,5
1114,ABC4,I would recommend my direct manager to others,1,6
1115,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,5
1116,ABC6,I have confidence in the leadership team,1,8
1117,ABC7,I have good career opportunities at this organization,0,9
1118,ABC8,The work that I do at this organization is meaningful to me,1,8
1119,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
1120,ABC10,I enjoy the colleagues I work with,1,1
1121,ABC1,I have the resources I need to do my job well,0,1
1122,ABC2,I am able to successfully balance my work and personal life,0,8
1123,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,2
1124,ABC4,I would recommend my direct manager to others,0,0
1125,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
1126,ABC6,I have confidence in the leadership team,1,10
1127,ABC7,I have good career opportunities at this organization,1,1
1128,ABC8,The work that I do at this organization is meaningful to me,0,10
1129,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,1
1130,ABC10,I enjoy the colleagues I work with,0,10
1131,ABC1,I have the resources I need to do my job well,1,7
1132,ABC2,I am able to successfully balance my work and personal life,0,7
1133,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
1134,ABC4,I would recommend my direct manager to others,0,4
1135,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,5
1136,ABC6,I have confidence in the leadership team,0,10
1137,ABC7,I have good career opportunities at this organization,1,7
1138,ABC8,The work that I do at this organization is meaningful to me,1,3
1139,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,8
1140,ABC10,I enjoy the colleagues I work with,0,1
1141,ABC1,I have the resources I need to do my job well,1,8
1142,ABC2,I am able to successfully balance my work and personal life,1,6
1143,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
1144,ABC4,I would recommend my direct manager to others,0,5
1145,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,6
1146,ABC6,I have confidence in the leadership team,1,0
1147,ABC7,I have good career opportunities at this organization,1,3
1148,ABC8,The work that I do at this organization is meaningful to me,0,2
1149,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,6
1150,ABC10,I enjoy the colleagues I work with,0,9
1151,ABC1,I have the resources I need to do my job well,0,10
1152,ABC2,I am able to successfully balance my work and personal life,0,9
1153,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,5
1154,ABC4,I would recommend my direct manager to others,0,1
1155,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
1156,ABC6,I have confidence in the leadership team,1,10
1157,ABC7,I have good career opportunities at this organization,1,7
1158,ABC8,The work that I do at this organization is meaningful to me,1,6
1159,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
1160,ABC10,I enjoy the colleagues I work with,1,10
1161,ABC1,I have the resources I need to do my job well,1,9
1162,ABC2,I am able to successfully balance my work and personal life,1,2
1163,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
1164,ABC4,I would recommend my direct manager to others,1,5
1165,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,7
1166,ABC6,I have confidence in the leadership team,0,10
1167,ABC7,I have good career opportunities at this organization,1,3
1168,ABC8,The work that I do at this organization is meaningful to me,0,8
1169,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,0
1170,ABC10,I enjoy the colleagues I work with,1,7
1171,ABC1,I have the resources I need to do my job well,0,1
1172,ABC2,I am able to successfully balance my work and personal life,1,5
1173,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,6
1174,ABC4,I would recommend my direct manager to others,0,7
1175,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,3
1176,ABC6,I have confidence in the leadership team,1,3
1177,ABC7,I have good career opportunities at this organization,1,5
1178,ABC8,The work that I do at this organization is meaningful to me,0,2
1179,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,4
